SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
2550970450.0,0.4254278540611267,-0.1084536984562873,9.804428100585938,-3.19469690322876,-2.648268461227417,-0.4414741396903991
2550978783.0,0.415547639131546,-0.1158739477396011,9.82464599609375,-3.3399300575256348,-2.652315855026245,-0.4068693518638611
2550987116.0,0.4229609668254852,-0.1402028799057006,9.82761287689209,-3.269465208053589,-2.651214599609375,-0.4166539907455444
2550995449.0,0.4072343707084656,-0.1301225870847702,9.847379684448242,-3.242851734161377,-2.6219115257263184,-0.3055393993854522
2551003782.0,0.4073324501514435,-0.1206135228276252,9.868427276611328,-3.294823408126831,-2.691864013671875,-0.3508766293525696
2551012115.0,0.4037681221961975,-0.1226595789194107,9.846275329589844,-3.2796852588653564,-2.7255470752716064,-0.3173988163471222
2551020448.0,0.4050727188587188,-0.1295586079359054,9.823878288269045,-3.3094491958618164,-2.579007625579834,-0.4605311751365661
2551028781.0,0.4078145921230316,-0.1238668262958526,9.831243515014648,-3.2432360649108887,-2.54442834854126,-0.2629685401916504
2551037114.0,0.4172280132770538,-0.1221882477402687,9.851524353027344,-3.3382647037506104,-2.609283924102783,-0.4029247462749481
2551045447.0,0.4345384240150451,-0.1290552467107772,9.822413444519045,-3.2878305912017822,-2.619401454925537,-0.4068693518638611
2551053780.0,0.4146777987480163,-0.1371269524097442,9.803953170776367,-3.310089349746704,-2.721602201461792,-0.3103292882442474
2551062113.0,0.4015476107597351,-0.1287858188152313,9.834729194641112,-3.2930047512054443,-2.655927419662476,-0.3942159116268158
2551070446.0,0.4274998605251312,-0.1292084157466888,9.82364273071289,-3.2372934818267822,-2.7279036045074463,-0.251314103603363
2551078779.0,0.418704628944397,-0.1285848915576934,9.847989082336426,-3.325432300567627,-2.6056721210479736,-0.3564093112945556
2551087112.0,0.4147741794586181,-0.1378835439682006,9.863637924194336,-3.2973077297210693,-2.6663265228271484,-0.329539954662323
2551095445.0,0.4273547530174255,-0.1183465272188186,9.827757835388184,-3.2519447803497314,-2.564868688583374,-0.3569983839988708
2551103778.0,0.4000910818576813,-0.1193962395191192,9.82622528076172,-3.2335028648376465,-2.646117210388184,-0.3594318032264709
2551112111.0,0.408063143491745,-0.1252353191375732,9.825165748596191,-3.304198265075684,-2.6340785026550293,-0.3207030892372131
2551120444.0,0.4194849729537964,-0.1413627415895462,9.85198211669922,-3.2819900512695312,-2.558977127075196,-0.3525415062904358
2551128777.0,0.4083041250705719,-0.1405525356531143,9.868329048156738,-3.232939481735229,-2.6585400104522705,-0.383765310049057
2551137110.0,0.3961479663848877,-0.1276410073041916,9.854093551635742,-3.271847486495972,-2.6822588443756104,-0.3746466338634491
2551145443.0,0.4114388823509216,-0.1166090443730354,9.856367111206056,-3.241955518722534,-2.719219923019409,-0.339785635471344
2551153776.0,0.4024647176265716,-0.150296926498413,9.85410213470459,-3.2929022312164307,-2.6905834674835205,-0.2701148986816406
2551162109.0,0.4296115338802337,-0.1391437798738479,9.855829238891602,-3.2631638050079346,-2.6363327503204346,-0.4372222125530243
2551170442.0,0.425731897354126,-0.1142859682440757,9.873283386230469,-3.320488929748535,-2.6634578704833984,-0.3382232189178467
2551178775.0,0.4120822548866272,-0.1289099603891372,9.828741073608398,-3.292953491210937,-2.68092679977417,-0.3437046408653259
2551187108.0,0.4182583391666412,-0.1399874091148376,9.83347225189209,-3.283527374267578,-2.616583824157715,-0.3732890486717224
2551195441.0,0.3965079486370086,-0.1336420774459839,9.824864387512209,-3.249819040298462,-2.69470739364624,-0.3949843347072601
2551203774.0,0.411443680524826,-0.1352692246437072,9.831475257873535,-3.1951582431793213,-2.6333353519439697,-0.2897097766399383
2551212107.0,0.4023930728435516,-0.128622218966484,9.834146499633787,-3.2014076709747314,-2.5805699825286865,-0.3707532286643982
2551220440.0,0.4167737960815429,-0.1189574897289276,9.865418434143066,-3.149334192276001,-2.705721139907837,-0.426464170217514
2551228773.0,0.4238594174385071,-0.1225553750991821,9.841724395751951,-3.328249931335449,-2.6121528148651123,-0.3620444536209106
2551237106.0,0.4252336323261261,-0.1259356886148452,9.82808780670166,-3.297077178955078,-2.6331562995910645,-0.3443193733692169
2551245439.0,0.4049873650074005,-0.1376786082983017,9.836455345153809,-3.2444398403167725,-2.5344388484954834,-0.2744693160057068
2551253772.0,0.4016238152980804,-0.1119427159428596,9.83308219909668,-3.3004839420318604,-2.713456869125366,-0.3578948974609375
2551262105.0,0.4376986622810364,-0.1291587948799133,9.848283767700195,-3.2586557865142822,-2.6784679889678955,-0.3773104846477508
2551270438.0,0.4144334197044372,-0.1370598822832107,9.84811305999756,-3.232452392578125,-2.523475885391236,-0.3479565680027008
2551278771.0,0.3941884934902191,-0.1228514462709426,9.825669288635254,-3.2384722232818604,-2.7032623291015625,-0.3341505229473114
2551287104.0,0.4253222942352295,-0.1455239951610565,9.821624755859377,-3.3143670558929443,-2.633514881134033,-0.3366351127624511
2551295437.0,0.4247473776340484,-0.1353705525398254,9.825721740722656,-3.36441707611084,-2.6167118549346924,-0.4034882485866546
2551303770.0,0.4379611909389496,-0.1365335434675216,9.83865451812744,-3.261524677276612,-2.662689685821533,-0.3198577761650085
2551312103.0,0.4161055088043213,-0.1339856535196304,9.816349983215332,-3.294618368148804,-2.726802110671997,-0.3340993225574493
2551320436.0,0.4217006862163543,-0.1240876391530036,9.837875366210938,-3.3168516159057617,-2.5933773517608643,-0.3966236114501953
2551328769.0,0.4084287583827972,-0.1337927430868148,9.824233055114746,-3.260781764984131,-2.7174530029296875,-0.3738781809806824
2551337102.0,0.4197384715080261,-0.1428002715110778,9.864205360412598,-3.218595027923584,-2.6313631534576416,-0.2828195691108703
2551345435.0,0.4240867495536804,-0.1259548664093017,9.84164810180664,-3.2124733924865723,-2.5987820625305176,-0.4305368363857269
2551353768.0,0.4038033485412597,-0.1344661116600036,9.83142375946045,-3.3111140727996826,-2.64483642578125,-0.3601745963096618
2551362101.0,0.4235654771327972,-0.1409464478492736,9.83755588531494,-3.289418458938598,-2.6746768951416016,-0.3506717085838318
2551370434.0,0.4221212565898895,-0.1265996843576431,9.846385955810549,-3.310960292816162,-2.6104109287261963,-0.4318431615829468
2551378767.0,0.4282857775688171,-0.1376406252384185,9.851025581359863,-3.2915191650390625,-2.7478058338165283,-0.4104553163051605
2551387100.0,0.4059340059757232,-0.1319434642791748,9.825787544250488,-3.302891731262207,-2.624088764190674,-0.3910653293132782
2551395433.0,0.3908521234989166,-0.1305297911167144,9.840764045715332,-3.4173617362976074,-2.695629596710205,-0.2977270483970642
2551403766.0,0.4195353090763092,-0.1435505449771881,9.815468788146973,-3.3168771266937256,-2.705695867538452,-0.3509790599346161
2551412099.0,0.4176838099956512,-0.1291061639785766,9.839982986450195,-3.2527644634246826,-2.7042360305786133,-0.3729048669338226
2551420432.0,0.4060845375061035,-0.1341416388750076,9.831111907958984,-3.187243223190308,-2.566635847091675,-0.3633251190185547
2551428765.0,0.4261164963245392,-0.1446067690849304,9.84817600250244,-3.290135622024536,-2.490484952926636,-0.3825357854366302
2551437098.0,0.4133583009243011,-0.1392177790403366,9.847162246704102,-3.24000883102417,-2.668759822845459,-0.312583327293396
2551445431.0,0.4131725132465362,-0.1236234903335571,9.84948444366455,-3.292466640472412,-2.579878568649292,-0.3412456512451172
2551453764.0,0.4160804152488708,-0.1296557337045669,9.84024143218994,-3.2993314266204834,-2.5941712856292725,-0.3342786133289337
2551462097.0,0.4099512100219726,-0.1316950470209121,9.845711708068848,-3.2360641956329346,-2.65720796585083,-0.2243422865867614
2551470430.0,0.429335355758667,-0.1199072077870369,9.833860397338867,-3.280914783477783,-2.5456833839416504,-0.3653998672962188
2551478763.0,0.407636821269989,-0.1297920197248459,9.83035945892334,-3.3444631099700928,-2.47939395904541,-0.4490815699100494
2551487096.0,0.4206945896148681,-0.1317703127861023,9.851207733154297,-3.3339104652404785,-2.7240869998931885,-0.4195227921009063
2551495429.0,0.4185868799686432,-0.131328284740448,9.842208862304688,-3.2967958450317383,-2.657925128936768,-0.3632738888263702
2551503762.0,0.3996010720729828,-0.1138427481055259,9.843425750732422,-3.3333468437194824,-2.636204481124878,-0.4169613420963287
2551512095.0,0.4203303158283233,-0.1233229413628578,9.839405059814451,-3.234425067901612,-2.7899155616760254,-0.3722645342350006
2551520428.0,0.41018146276474,-0.1305048018693924,9.840081214904783,-3.3798625469207764,-2.714020252227783,-0.3374291658401489
2551528761.0,0.4224669933319092,-0.1131834164261818,9.81025218963623,-3.321077823638916,-2.5569539070129395,-0.2551049888134002
2551537094.0,0.4057418704032898,-0.122260957956314,9.865657806396484,-3.270848035812378,-2.5725786685943604,-0.3515937924385071
